Name, Gender
AALI,male
عالي ,male
AALIYAH,female
عالية ,female
AAMINA,female
آمنة ,female
AAMINAH,female
آمنة ,female
'AAMIR,male
عامر ,male
AAMIR,male
آمر ,male
'ABBAS,male
عبّاس ,male
ABBAS,male
عبّاس ,male
ABD AL-AZIZ,male
عبد العزيز ,male
ABD AL-HAMID,male
عبد الحميد ,male
ABD AL-KADER,male
عبد القادر ,male
ABD AL-KARIM,male
عبد الكريم ,male
ABD ALLAH,male
عبد الله ,male
ABD AL-LATIF,male
عبد اللطيف ,male
ABD AL-MALIK,male
عبد الملك ,male
ABD AL-QADIR,male
عبد القادر ,male
ABD AL-RAHMAN,male
عبد الرحمن,male
 عبد الرحمان ,male
ABD AL-RASHID,male
عبد الرشيد ,male
ABD AL-WALI,male
عبد الولِي ,male
ABDUL,male
عبد ال ,male
ABDUL-AZIZ,male
عبد العزيز ,male
ABDUL-HAMID,male
عبد الحميد ,male
ABDULLAH,male
عبد الله ,male
ABDUL-RAHMAN,male
عبد الرحمن,male
 عبد الرحمان ,male
ABDUR-RAHMAN,male
عبد الرحمن,male
 عبد الرحمان ,male
ABDUR-RASHID,male
عبد الرشيد ,male
'ABLA,female
عبلة ,female
ABU,male
أبو ,male
ABU AL-FADL,male
أبو الفضل ,male
ABU BAKR,male
أبو بكر ,male
ABUL-FAZL,male
أبو الفضل ,male
ADAM,male
آدم ,male
ADEL,male
عادل ,male
ADIL,male
عادل ,male
ADILA,female
عادلة ,female
ADNAN,male
عدنان ,male
AFAF,female
عفاف ,female
AFIF,male
عفيف ,male
AFRA ,female
عفرا ,female
AFZAL,male
أفضل ,male
AHMAD,male
أحمد ,male
AHMED,male
أحمد ,male
AIDA,female
عائدة ,female
'AISHA,female
عائشة ,female
A'ISHA,female
عائشة ,female
AISHA,female
عائشة ,female
AISHAH,female
AKBAR,male
أكبر ,male
AKEEM,male
AKILAH,female
عاقلة ,female
AKRAM,male
أكرم ,male
ALA,male
علاء ,male
ALA AL-DIN,male
علاء الدين ,male
AL-AMIR,male
الآمر ,male
'ALI,male
عليّ ,male
ALI ,male
عليّ ,male
ALIA ,female
علياء ,female
ALIM,male
عليم ,male
ALIYA ,female
عليّة ,female
ALIYAH ,female
عليّة ,female
ALIYYA,female
عليّة ,female
ALIYYAH,female
عليّة ,female
ALMAS,female
ألماس ,female
ALYA,female
علياء ,female
AMAAL,female
أمال ,female
AMAL ,female
أمل ,female
AMANI,female
أماني ,female
AMEL ,female
أمال ,female
AMIN,male
أمين ,male
AMINA,female
آمنة,female
 أمينة ,female
AMINAH ,female
آمنة ,female
AMINAH ,female
أمينة ,female
AMIR ,male
أمير ,male
AMIRA ,female
أميرة ,female
AMIRAH,female
أميرة ,female
AMJAD,male
أمجد ,male
'AMMAR,male
عمّار ,male
AMMAR,male
عمّار ,male
AMNA,female
أمنة ,female
ANAS,male
أنس ,male
ANASS,male
أنس ,male
ANIS,male
أنيس ,male
ANISA,female
أنيسة ,female
ANWAR,male
أنور ,male
ANWER,male
أنور ,male
AQIL,male
عاقل ,male
AQILA,female
عاقلة ,female
ARIJ,female
أريج ,female
ARWA,female
أروى ,female
AS'AD,male
أسعد ,male
ASAD,male
أسد ,male
ASHFAQ,male
أشفاق ,male
ASHRAQAT,female
أشراقات ,female
ASIF,male
أصف ,male
ASIM ,male
عاسم ,male
ASMA,female
أسمى ,female
ASMAA,female
أسماء ,female
ASRA,female
أسرى ,female
ATA ,male
عطاء ,male
ATALLAH,male
عطاء الله ,male
ATAULLAH,male
عطاء الله ,male
ATIF,male
عاطف ,male
ATIFA,female
عاطفه ,female
ATIYA,male
عطيّة ,male
ATUF,male
عطوف ,male
AYDA,female
عائدة ,female
AYESHA,female
عائشة ,female
AYISHAH,female
عائشة ,female
AYMAN,male
أيمن ,male
AYYUB,male
أيّوب ,male
AZHAR,male
أزهر ,male
'AZIZ,male
عزيز ,male
AZIZ,male
عزيز ,male
AZRA,female
عذراء ,female
BADR,male
بدر ,male
BAHA,male
بهاء ,male
BAHADUR,male
بهادر ,male
BAHIGA,female
بهيجة ,female
BAHIJ,male
بهيج ,male
BAHIJA,female
بهيجة ,female
BAHIYYA,female
بهيّة ,female
BAKI,male
باقي ,male
BAKR,male
بكر ,male
BAQI,male
باقي ,male
BAQIR,male
باقر ,male
BARACK,male
باراك ,male
BARAK ,male
باراك ,male
BARAKAT,male
بركات ,male
BASIL ,male
باسل ,male
BASIM,male
باسم ,male
BASIMA,female
باسمة ,female
BASIR,male
بصير ,male
BASIRA,female
بصيرة ,female
BASIT,male
باسط ,male
BASMA,female
بسمة ,female
BASSAM,male
بسّام ,male
BASSEM,male
باسم ,male
BATUL,female
بتول ,female
BILAL,male
بلال ,male
BINYAMIN,male
بنيامين ,male
BOTROS,male
بطرس ,male
BOULOS,male
بولس ,male
BOUTROS,male
بطرس ,male
BUDUR,female
بدور ,female
BULUS,male
بولس ,male
BURHAN,male
برهان ,male
BUTRUS,male
بطرس ,male
DALAL,female
دلال ,female
DANA ,male
دانا ,male
DANIA ,female
دانية ,female
DANIYAH,female
دانية ,female
DANYA ,female
دانية ,female
DANYAL,male
دانيال ,male
DAUD,male
داود ,male
DAWOOD,male
داود ,male
DAWUD,male
داود ,male
DEMA,female
ديمة ,female
DIMA ,female
ديمة ,female
DIYA,male
ضياء ,male
DJAMILA,female
جميلة ,female
DUA,female
دعاء ,female
DUHA,female
ضحى ,female
EBRAHIM,male
إبراهيم ,male
ESMAIL,male
إسماعيل ,male
ESSA,male
عيسى ,male
FADI,male
فادي ,male
FADIA,female
فادية ,female
FADIL,male
فاضل ,male
FADILA,female
فاضلة ,female
FADL,male
فضل ,male
FAHD,male
فهد ,male
FAHIM,male
فهم ,male
FAHIMA,female
فهمة ,female
FAIRUZ,female
فيروز ,female
FAIZ,male
فائز ,male
FAIZA,female
فائزة ,female
FAIZEL,male
فيصل ,male
FAJR,female
فجر ,female
FAKHRI,male
فخريّ ,male
FAKHRIYYA,female
فخريّة ,female
FARAG,male
فرج ,male
FARAH,male
فرح ,male
FARAJ,male
فرج ,male
FAREED,male
فريد ,male
FAREEHA,female
فرحة ,female
FARID,male
فريد ,male
FARIDA,female
فريدة ,female
FARIHA,female
فريحة,female
 فرحة ,female
FARIS,male
فارس ,male
FAROOQ,male
فاروق ,male
FAROUK,male
فاروق ,male
FARRAH,female
فرح ,female
FARUK,male
فاروق ,male
FARUQ,male
فاروق ,male
FATHI,male
فتحيّ ,male
FATHIYYA,female
فتحيّة ,female
FATIMA,female
فاطمة ,female
FATIMAH,female
فاطمة ,female
FATIN ,female
فاتن ,female
FATIN ,male
فطين ,male
FATMA,female
فاطمة ,female
FAWZI,male
فوزيّ ,male
FAWZIYA,female
فوزيّة ,female
FAWZIYYA,female
فوزيّة ,female
FAYIZ,male
فايز ,male
FAYRUZ,female
فيروز ,female
FAYSAL,male
فيصل ,male
FAYZA,female
فائزة ,female
FAZL,male
FIDDA,female
فضّة ,female
FIHR,male
فهر ,male
FIKRI,male
فكريّ ,male
FIKRIYYA,female
فكريّة ,female
FIRDAUS,male
فردوس ,male
FIRDOS,male
فردوس ,male
FIZZA,female
فضّة ,female
FOUAD,male
فؤاد ,male
FUAD,male
فؤاد ,male
GABIR,male
جابر ,male
GABR,male
جبر ,male
GAFAR,male
جعفر ,male
GALAL,male
جلال ,male
GALILA,female
جليلة ,female
GAMAL,male
جمال ,male
GAMIL,male
جميل ,male
GAMILA,female
جميلة ,female
GATHBIYYA,female
جاذبيّة ,female
GAUHAR,female
جواهر ,female
GAWAHIR,female
جواهر ,female
GAWDAT,male
جودت ,male
GAZBIYYA,female
جاذبيّة ,female
GHADA,female
غادة ,female
GHADIR,female
غدير ,female
GHALIB,male
غالب ,male
GHALIYA,female
غالية ,female
GHASSAN,male
غسّان ,male
GHAYTH,male
غيث ,male
GHUFRAN,female
غفران ,female
GHULAM,male
غلام ,male
GUDA,male
جودة ,male
HAAMID,male
حامد ,male
HABIB,male
حبيب ,male
HABIBA,female
حبيبة ,female
HABIBULLAH,male
حبيب الله ,male
HADI,male
هادي ,male
HADIA,female
هادية ,female
HADIL,female
هديل ,female
HADIYA,female
هادية ,female
HADIYYA,female
هديّة ,female
HADJARA,female
HADYA,female
هادية ,female
HAFEEZ,male
حفيظ ,male
HAFIZ,male
حفيظ ,male
HAFSA,female
حفصة ,female
HAFSAH,female
حفصة ,female
HAFZA,female
حفصة ,female
HAGIR,female
هاجر ,female
HAIDAR,male
حيدر ,male
HAIDER,male
حيدر ,male
HAIFA,female
هيفاء ,female
HAJAR,female
هاجر ,female
HAKEEM,male
حكيم ,male
HAKIM,male
حكيم ,male
HALA,female
هالة ,female
HALIM,male
حليم ,male
HALIMA,female
حليمة ,female
HAMED,male
حامد ,male
HAMEED,male
حميد ,male
HAMID ,male
حميد ,male
HAMID ,male
حامد ,male
HAMIDA,female
حميدة ,female
HAMZA,male
حمزة ,male
HANA ,female
هناء ,female
HANAA,female
هناء ,female
HANAN ,female
حنان ,female
HANI,male
هانئ ,male
HANIA ,female
هنيّة ,female
HANIF,male
حنيف ,male
HANIFA,female
حنيفة ,female
HANIYAH,female
هنيّة ,female
HANIYYA,female
هنيّة ,female
HARIS ,male
حارث ,male
HARITH,male
حارث ,male
HAROUN,male
هارون ,male
HARUN,male
هارون ,male
HASAN,male
حسن ,male
HASHIM,male
هاشم ,male
HASIB,male
حسيب ,male
HASIM,male
حاسم ,male
HASNA,female
حسناء ,female
HASSAN,male
حسّان ,male
HATIM,male
حاتم ,male
HAWA,female
حواء ,female
HAYDER,male
حيدر ,male
HAYFA,female
هيفاء ,female
HAYTHAM,male
هيثم ,male
HESHAM,male
هشام ,male
HIBA,female
هبة ,female
HIDAYAT,male
هداية ,male
HIKMAT,male
حكمة ,male
HIND,female
هند ,female
HISEIN,male
حسين ,male
HISHAM,male
هشام ,male
HOODA,female
هدى ,female
HOSNI,male
حسني ,male
HOSSAM,male
حسام ,male
HOUDA,female
هدى ,female
HOUSSAM,male
حسام ,male
HUDA,female
هدى ,female
HUMAIRA,female
حميراء ,female
HUMAYRA,female
حميراء ,female
HUSAIN,male
حسين ,male
HUSAM,male
حسام ,male
HUSAYN,male
حسين ,male
HUSNA,female
حسنى ,female
HUSNI,male
حسني ,male
HUSNIYA,female
حسنية ,female
HUSSAIN,male
حسين ,male
HUSSEIN,male
حسين ,male
HYDER,male
حيدر ,male
IBRAHEEM,male
إبراهيم ,male
IBRAHIM,male
إبراهيم ,male
IBTIHAJ,female
إبتهاج ,female
IBTISAM,female
إبتسام ,female
IDRIS ,male
إدريس ,male
IHAB,male
إيهاب ,male
IHSAN,male
إحسان ,male
IKRAAM,female
إكرام ,female
IKRAM,female
إكرام ,female
ILHAM,male
إلهام ,male
ILYAS,male
إلياس ,male
IMAD,male
عماد ,male
IMAM,male
إمام ,male
IMAN,male
إيمان ,male
IMEN,male
إيمان ,male
IMRAM,male
عمرام ,male
IMRAN,male
عمران ,male
IMTIYAZ,male
إمتياز ,male
IN'AM,female
إنعام ,female
INAS,female
إيناس ,female
IQBAL,male
إقبال ,male
IRFAN,male
عرفان ,male
ISA ,male
عيسى ,male
'ISAM,male
عصام ,male
ISKANDAR,male
إسكندر ,male
ISMA'IL,male
إسماعيل ,male
ISMAIL,male
إسماعيل ,male
'ISMAT,male
عصمة ,male
ISRA,female
إسراء ,female
ISRAA,female
إسراء ,female
ISSA,male
عيسى ,male
I'TIDAL,female
اعتدال ,female
I'TIMAD,female
اعتماد ,female
IZDIHAR,female
إزدهار ,female
IZZ AL-DIN,male
عزّ الدين ,male
IZZ UD-DIN,male
عزّ الدين ,male
JABBAR,male
جبّار ,male
JABIR,male
جابر ,male
JABR,male
جبر ,male
JABRIL,male
جبريل ,male
JAFAR,male
جعفر ,male
JAFFAR,male
جعفر ,male
JAFFER,male
جعفر ,male
JALAL,male
جلال ,male
JALIL,male
جليل ,male
JALILA,female
جليلة ,female
JAMAAL,male
جمال ,male
JAMAL,male
جمال ,male
JAMEEL,male
جميل ,male
JAMEELA,female
جميلة ,female
JAMIL,male
جميل ,male
JAMILA,female
جميلة ,female
JAMILLAH,female
جميلة ,female
JANAN,female
جنان ,female
JATHBIYYA,female
جاذبيّة ,female
JATHIBIYYA,female
جاذبيّة ,female
JAWAHIR,female
جواهر ,female
JAWDAT,male
جودت ,male
JIBRIL,male
جبريل ,male
JINAN,male
جنان ,male
JUDA,male
جودة ,male
JUMANA,female
جمانة ,female
JUMANAH,female
جمانة ,female
JUNAID,male
جنيد ,male
JUNAYD,male
جنيد ,male
KADER ,male
قدير ,male
KAMAL ,male
كمال ,male
KAMIL ,male
كامل ,male
KARAM,male
كرم ,male
KAREEM,male
كريم ,male
KARIM,male
كريم ,male
KARIMA,female
كريمة ,female
KHADIGA,female
خديجة ,female
KHADIJA,female
خديجة ,female
KHALED,male
خالد ,male
KHALEEL,male
خليل ,male
KHALID,male
خالد ,male
KHALIDA,female
خالدة ,female
KHALIFA,male
خليفة ,male
KHALIL,male
خليل ,male
KHALILAH,female
خليلة ,female
KHALIQ,male
خليق ,male
KHATIJAH,female
خديجة ,female
KHAYRAT,male
خيرات ,male
KHAYRI,male
خيريّ ,male
KHAYRIYYA,female
خيريّة ,female
KHAYYAM,male
خيّام ,male
LAILA ,female
ليلى ,female
LAMIA ,female
لامعة ,female
LAMIS,female
لميس ,female
LAMYA,female
لمياء ,female
LATEEFAH,female
لطيفة ,female
LATIF,male
لطيف ,male
LATIFA,female
لطيفة ,female
LATIFAH,female
لطيفة ,female
LAWAHIZ,female
LAYLA,female
ليلى ,female
LEILA,female
ليلى ,female
LEYLA,female
ليلى ,female
LINA ,female
لينا ,female
LUBNA,female
لبنى ,female
LUJAYN,female
لجين ,female
LULU ,female
لؤلؤ ,female
LUTFI,male
لطفيّ ,male
MAALIK,male
مالك ,male
MAHA,female
مهاة ,female
MAHDI,male
مهدي ,male
MAHFUZ,male
محفوظ ,male
MAHIR,male
ماهر ,male
MAHMOOD,male
